Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Label
31749,3096,3229,0.0,259.69793469514855,154.10683870610228,587.9740103543021,BENIGN
84273,4146,3580,2350.4227734772217,113.51224478257927,175.0146115090801,835.0469673393601,BENIGN
3529,3201,1338,3326.401328259826,231.5355307609587,204.99650544366065,1544.636483434936,ATTACK
44639,2970,1786,2246.016017533904,313.6184174914971,138.91033366661594,1250.0278608709084,BENIGN
80096,2337,4725,2665.9602716386817,219.7329572380878,320.12253202113084,678.6182881581025,BENIGN
95297,1225,4259,3529.630431035939,232.02145966293423,244.5298263375888,906.5253115659189,ATTACK
25142,1404,2065,2581.4727825584378,262.9924840674181,335.61941198674384,917.7117980571484,BENIGN
65079,3728,1205,3271.2715069224305,239.92316539624008,198.79440216453864,811.706325495468,BENIGN
18969,349,1507,4911.274147223482,167.55875980899162,171.58470263920236,401.42574528740863,BENIGN
11590,423,2692,2793.769441215603,247.09231010664763,333.08909301451195,762.832399613511,BENIGN
35302,1983,2834,4415.205371663047,329.5258536004717,169.53581820882104,1486.219757052881,BENIGN
88509,3872,921,3671.24408076883,165.90592421863278,197.5195584607613,866.5994295285886,ATTACK
68947,3285,330,1239.30960781588,220.04144884113452,260.40331873481205,963.8612293386784,BENIGN
48927,2950,2477,1677.435564883771,139.46949408519382,123.35919341919052,1049.183976398751,ATTACK
28282,2671,3987,1999.6849403161243,325.3105560392276,259.7906279355555,1776.349488149244,BENIGN
14164,554,763,1974.19809968066,242.6113434529697,250.8342946315222,1003.1061699959364,BENIGN
27077,1659,2042,2891.652304671823,181.98402931153092,298.8527722626483,1382.880873754229,BENIGN
15269,398,808,3737.5728576981865,257.3812480114542,272.30311521070985,790.6369397820812,BENIGN
18709,3791,1211,4506.190100045667,153.7119828083638,300.99848470143,909.210258824128,ATTACK
68753,3754,3061,3369.8101064700986,167.32035748316747,202.2704669644113,1004.3934530885998,BENIGN
13270,1291,1431,2465.184532736148,133.18931761185755,149.61307769050575,729.0534703527154,BENIGN
4738,1465,1319,501.3105076441507,164.657660995408,357.69897898583537,928.6987767889648,BENIGN
